Current,,
,,
證券代碼,年月日,報酬率％
2534 宏盛,2001/12/31,5.9322
2535 達欣工,2001/12/31,6.4516
2536 宏普,2001/12/31,2.518
2537 聯上發,2001/12/31,3.8043
2538 基泰,2001/12/31,4.1958
2539 櫻花建,2001/12/31,3.125
2540 愛山林,2001/12/31,6.4516
2542 興富發,2001/12/31,2.1277
2543 皇昌,2001/12/31,-3.5461
2545 皇翔,2001/12/31,-0.6623
2546 根基,2001/12/31,3.3254
2547 日勝生,2001/12/31,4.6729
2548 華固,2001/12/31,0.9804
2601 益航,2001/12/31,6.8293
2603 長榮,2001/12/31,2.8571
2605 新興,2001/12/31,1.3699
2606 裕民,2001/12/31,3.3557
2607 榮運,2001/12/31,2.7027
2608 嘉里大榮,2001/12/31,-1.4493
2609 陽明,2001/12/31,2.649
2610 華航,2001/12/31,2.4
2611 志信,2001/12/31,1
2612 中航,2001/12/31,2.8986
2613 中櫃,2001/12/31,-0.4854
2614 東森,2001/12/31,2.6087
2615 萬海,2001/12/31,1.2605
2616 山隆,2001/12/31,-1.3699
2617 台航,2001/12/31,1.4706
2618 長榮航,2001/12/31,-1.0989
2701 萬企,2001/12/31,1.9048
2702 華園,2001/12/31,1.25
2704 國賓,2001/12/31,0
2705 六福,2001/12/31,2.8037
2706 第一店,2001/12/31,0
2707 晶華,2001/12/31,0
2801 彰銀,2001/12/31,2.1277
2809 京城銀,2001/12/31,0.7519
2812 台中銀,2001/12/31,1.023
2816 旺旺保,2001/12/31,0.8197
2820 華票,2001/12/31,2.8037
2823 中壽,2001/12/31,0
2832 台產,2001/12/31,5.3435
2834 臺企銀,2001/12/31,1.626
2836 高雄銀,2001/12/31,1.8405
2838 聯邦銀,2001/12/31,1.8182
2841 台開,2001/12/31,0.578
2845 遠東銀,2001/12/31,1.7241
2849 安泰銀,2001/12/31,4.0404
2850 新產,2001/12/31,1.0101
2851 中再保,2001/12/31,1.0363
2852 第一保,2001/12/31,2.5974
2855 統一證,2001/12/31,6.1905
2880 華南金,2001/12/31,2.5
2881 富邦金,2001/12/31,4.4674
2882 國泰金,2001/12/31,-4.2017
2883 開發金,2001/12/31,3.5242
2901 欣欣,2001/12/31,3.1847
2903 遠百,2001/12/31,1.5385
2904 匯僑,2001/12/31,0
2905 三商,2001/12/31,4.5455
2906 高林,2001/12/31,2.0408
2908 特力,2001/12/31,3.0435
2910 統領,2001/12/31,0
2911 麗嬰房,2001/12/31,2.1834
2912 統一超,2001/12/31,2.7778
2913 農林,2001/12/31,2.649
2915 潤泰全,2001/12/31,-1.0929
3002 歐格,2001/12/31,-0.9709
3010 華立,2001/12/31,0.6897
3011 今皓,2001/12/31,0.7143
3018 同開,2001/12/31,6.9444
3019 亞光,2001/12/31,6.6421
3021 鴻名,2001/12/31,1.8349
3022 威強電,2001/12/31,0
3023 信邦,2001/12/31,-1.4184
3024 憶聲,2001/12/31,0.4878
3025 星通,2001/12/31,5.3571
3026 禾伸堂,2001/12/31,3.2051
3027 盛達,2001/12/31,1.4199
3028 增你強,2001/12/31,4.0632
3029 零壹,2001/12/31,2.5253
3030 德律,2001/12/31,1.8868
3031 佰鴻,2001/12/31,4.8193
3032 偉訓,2001/12/31,5.0725
3033 威健,2001/12/31,0.9709
3034 聯詠,2001/12/31,-1.0417
3035 智原,2001/12/31,3.125
3036 文曄,2001/12/31,-0.2146
3037 欣興,2001/12/31,4.7619
3038 全台,2001/12/31,0
3040 遠見,2001/12/31,1.5873
3041 揚智,2001/12/31,3.0769
3042 晶技,2001/12/31,6.9697
3043 科風,2001/12/31,0
3044 健鼎,2001/12/31,3.2877
3045 台灣大,2001/12/31,4
3046 建碁,2001/12/31,1.6129
3047 訊舟,2001/12/31,1.9149
3052 夆典,2001/12/31,-0.9804
4104 佳醫,2001/12/31,3.2468
4306 炎洲,2001/12/31,0.9091
4414 如興,2001/12/31,-1.2195
4526 東台,2001/12/31,5.6
4720 德淵,2001/12/31,1.8868
4722 國精化,2001/12/31,0.7519
4904 遠傳,2001/12/31,3.6247
5007 三星,2001/12/31,-1.1765
5203 訊連,2001/12/31,6.9853
5388 中磊,2001/12/31,2.6119
5434 崇越,2001/12/31,1.2987
5469 瀚宇博,2001/12/31,6.5421
5471 松翰,2001/12/31,2.1429
5484 慧友,2001/12/31,-1.5152
5515 建國,2001/12/31,6.8182
5519 隆大,2001/12/31,4.0323
5521 工信,2001/12/31,-3.5533
5522 遠雄,2001/12/31,-0.6061
5525 順天,2001/12/31,-0.4975
5531 鄉林,2001/12/31,0.7843
5533 皇鼎,2001/12/31,0.6135
5607 遠雄港,2001/12/31,-0.5263
5608 四維航,2001/12/31,-2.2088
5706 鳳凰,2001/12/31,0.4673
6005 群益證,2001/12/31,3.8062
6108 競國,2001/12/31,0.6098
6112 聚碩,2001/12/31,1.4815
6115 鎰勝,2001/12/31,3.5088
6116 彩晶,2001/12/31,6.8783
6117 迎廣,2001/12/31,6.5327
6128 上福,2001/12/31,6.9767
6131 鈞泰,2001/12/31,6.9519
6141 柏承,2001/12/31,0
6183 關貿,2001/12/31,3.3333
6191 精成科,2001/12/31,5.5556
8011 台通,2001/12/31,6.5574
8926 台汽電,2001/12/31,-0.3937
9902 台火,2001/12/31,1.4742
9904 寶成,2001/12/31,6.6421
9905 大華,2001/12/31,1.2579
9906 欣巴巴,2001/12/31,6.6667
9907 統一實,2001/12/31,2.7919
9908 大台北,2001/12/31,2.4155
9910 豐泰,2001/12/31,1.9608
9911 櫻花,2001/12/31,1.7467
9912 偉聯,2001/12/31,0
9914 美利達,2001/12/31,4.7619
9917 中保科,2001/12/31,2.7273
9918 欣天然,2001/12/31,3.3613
9919 康那香,2001/12/31,0.4405
9921 巨大,2001/12/31,4.0373
9924 福興,2001/12/31,3.7313
9925 新保,2001/12/31,1.3333
9926 新海,2001/12/31,-0.4049
9927 泰銘,2001/12/31,6.6298
9928 中視,2001/12/31,6.422
9929 秋雨,2001/12/31,1.2658
9930 中聯資源,2001/12/31,3.9548
9931 欣高,2001/12/31,1.4706
9933 中鼎,2001/12/31,1.9417
9934 成霖,2001/12/31,4.8387
9935 慶豐富,2001/12/31,-0.9804
9937 全國,2001/12/31,6.5476
9938 百和,2001/12/31,3.3333
9939 宏全,2001/12/31,3.8889
9940 信義,2001/12/31,1.3699
9941 裕融,2001/12/31,2.071
9943 好樂迪,2001/12/31,0.5556
9944 新麗,2001/12/31,-0.7407
9945 潤泰新,2001/12/31,-0.7813
Y9999 加權指數,2001/12/28,1.2245
1101 台泥,2001/12/28,1.2048
1102 亞泥,2001/12/28,0.9804
1103 嘉泥,2001/12/28,0
1104 環泥,2001/12/28,4.4248
1108 幸福,2001/12/28,6.7857
1109 信大,2001/12/28,0
1110 東泥,2001/12/28,0.9009
1201 味全,2001/12/28,-3.125
1210 大成,2001/12/28,0
1213 大飲,2001/12/28,0
1215 卜蜂,2001/12/28,1.7094
1216 統一,2001/12/28,2.5751
1217 愛之味,2001/12/28,1.6807
1218 泰山,2001/12/28,0.5319
1219 福壽,2001/12/28,-1.7094
1220 台榮,2001/12/28,1.7241
1225 福懋油,2001/12/28,-0.3215
1227 佳格,2001/12/28,1.2739
1229 聯華,2001/12/28,0
1231 聯華食,2001/12/28,3.125
1232 大統益,2001/12/28,0
1233 天仁,2001/12/28,5.0633
1234 黑松,2001/12/28,-0.8889
1235 興泰,2001/12/28,0.6711
1236 宏亞,2001/12/28,-4
1301 台塑,2001/12/28,0.3175
1303 南亞,2001/12/28,-0.3802
1304 台聚,2001/12/28,-2.8986
1305 華夏,2001/12/28,-1.2739
1307 三芳,2001/12/28,-1.5957
1308 亞聚,2001/12/28,-1.2245
1309 台達化,2001/12/28,-6.5359
1310 台苯,2001/12/28,0
1312 國喬,2001/12/28,4.1322
1313 聯成,2001/12/28,-3.5294
1314 中石化,2001/12/28,2.4138
1315 達新,2001/12/28,0
1316 上曜,2001/12/28,2.4793
1319 東陽,2001/12/28,1.0676
1321 大洋,2001/12/28,0
1323 永裕,2001/12/28,0.7519
1324 地球,2001/12/28,2.4272
1325 恒大,2001/12/28,0.5814
1326 台化,2001/12/28,-0.4348
1402 遠東新,2001/12/28,1.5936
1409 新纖,2001/12/28,-1.2552
1410 南染,2001/12/28,-3.3898
1413 宏洲,2001/12/28,1.3333
1414 東和,2001/12/28,0
1416 廣豐,2001/12/28,-0.9434
1417 嘉裕,2001/12/28,2.3392
1418 東華,2001/12/28,1.087
1419 新紡,2001/12/28,-5.3763
1423 利華,2001/12/28,0.8772
1432 大魯閣,2001/12/28,0.6897
1434 福懋,2001/12/28,1.0204
1435 中福,2001/12/28,0
